"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"1/12/2026","1/12/2026","1/13/2026","NVDA","NVIDIA
CUSIP: 67066G104
Recurring","Buy","0.535016","$186.91","($100.00)"
"1/12/2026","1/12/2026","1/13/2026","AVGO","Broadcom
CUSIP: 11135F101
Recurring","Buy","0.284701","$351.24","($100.00)"
"1/6/2026","1/6/2026","1/7/2026","WMT","Walmart
CUSIP: 931142103
Dividend Reinvestment","Buy","0.008186","$112.38","($0.92)"
"1/5/2026","1/5/2026","1/5/2026","WMT","Cash Div: R/D 2025-12-12 P/D 2026-01-05 - 3.924255 shares at 0.235","CDIV","","","$0.92"
"1/2/2026","1/2/2026","1/5/2026","AVGO","Broadcom
CUSIP: 11135F101
Dividend Reinvestment","Buy","0.060297","$360.05","($21.71)"
"1/2/2026","1/2/2026","1/5/2026","","ACH Deposit","ACH","","","$500.00"
"12/31/2025","12/31/2025","12/31/2025","AVGO","Cash Div: R/D 2025-12-22 P/D 2025-12-31 - 33.403494 shares at 0.65","CDIV","","","$21.71"
"12/31/2025","12/31/2025","1/2/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","0.912418","$314.22","($286.70)"
"12/31/2025","12/31/2025","1/2/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","15","$314.22","($4,713.30)"
"12/31/2025","12/31/2025","1/2/2026","","ACH Deposit","ACH","","","$5,000.00"
"12/31/2025","12/31/2025","1/2/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","0.91799","$314.11","($288.35)"
"12/31/2025","12/31/2025","1/2/2026","GOOGL","Alphabet Class A
CUSIP: 02079K305","Buy","15","$314.11","($4,711.65)"
"12/31/2025","12/31/2025","1/2/2026","AVGO","Broadcom
CUSIP: 11135F101","Buy","14.342058","$348.62","($5,000.00)"
"12/31/2025","12/31/2025","1/2/2026","","ACH Deposit","ACH","","","$10,000.00"
"12/29/2025","12/29/2025","12/30/2025","NVDA","NVIDIA
CUSIP: 67066G104
Dividend Reinvestment","Buy","0.001019","$186.42","($0.19)"
"12/26/2025","12/26/2025","12/26/2025","NVDA","Cash Div: R/D 2025-12-04 P/D 2025-12-26 - 19.231722 shares at 0.01","CDIV","","","$0.19"
"12/24/2025","12/24/2025","12/26/2025","META","Meta Platforms
CUSIP: 30303M102
Dividend Reinvestment","Buy","0.003948","$666.09","($2.63)"
"12/24/2025","12/24/2025","12/26/2025","BLK","Blackrock, Inc.
CUSIP: 09290D101
Dividend Reinvestment","Buy","0.001313","$1,088.99","($1.43)"
"12/23/2025","12/23/2025","12/23/2025","META","Cash Div: R/D 2025-12-15 P/D 2025-12-23 - 5 shares at 0.525","CDIV","","","$2.63"
"12/23/2025","12/23/2025","12/23/2025","BLK","Cash Div: R/D 2025-12-05 P/D 2025-12-23 - 0.275193 shares at 5.21","CDIV","","","$1.43"
"12/17/2025","12/17/2025","12/18/2025","UNH","UnitedHealth
CUSIP: 91324P102
Dividend Reinvestment","Buy","0.190901","$333.37","($63.64)"
"12/16/2025","12/16/2025","12/16/2025","UNH","Cash Div: R/D 2025-12-08 P/D 2025-12-16 - 28.797847 shares at 2.21","CDIV","","","$63.64"
"12/16/2025","12/16/2025","12/17/2025","AVGO","Broadcom
CUSIP: 11135F101","Buy","29.533808","$338.60","($10,000.00)"
"12/16/2025","12/16/2025","12/17/2025","","ACH Deposit","ACH","","","$10,000.00"
"12/16/2025","12/16/2025","12/17/2025","GOOGL","Alphabet Class A
CUSIP: 02079K305
Dividend Reinvestment","Buy","0.007338","$307.95","($2.26)"
